species,mean_res,max_res
H2,1.3893472801484662e-05,0.0010945546412391626
H,1.2405726316955256e-05,0.0006626143026890646
O,0.00013836062217141955,0.009111024404023298
O2,0.0010086510098780608,0.08041135586523276
OH,0.00014417025907620873,0.012130978423654227
H2O,0.00047339394455619813,0.0426485632602548
HO2,2.7682856826602556e-06,0.0003571377020301601
H2O2,6.673533122705858e-08,9.603459403733225e-06
CH2,1.620749540544287e-07,2.4488633173584032e-05
CH3,2.8093483384304945e-05,0.0034725417079217455
CH4,0.00010932352478031561,0.016697534284706342
CO,0.0004885862638488945,0.03825471132149039
CO2,0.0007715846799369136,0.04591488580724405
HCO,5.664728424529801e-07,0.0001103865307858375
CH2O,1.9957792692104928e-05,0.002711363184727029
CH3O,1.8933828617838234e-07,2.5308019779931008e-05
C2H3,1.2113547237237519e-06,0.0002042721502956627
C2H4,2.3900253427226583e-05,0.0034605180909489963
C2H5,7.06476215368877e-07,9.294968985387881e-05
C2H6,3.878410949299422e-06,0.0007055418893282459
HCCO,9.189693626078587e-07,0.00019933657559282616
CH2CO,2.248121466056147e-05,0.0027298085509605404
N,1.0614082570141526e-08,2.783841102982644e-07
NH3,2.146061157896351e-09,7.275196187369307e-09
NO,0.00022488534520241702,0.0003583147337959452
CN,2.774325517341738e-10,5.93007023062962e-08
NCO,1.6282794499605006e-09,3.296494042510215e-07
N2,0.00010598315557365601,0.00016894938464662168
C3H7,5.599159877667868e-10,6.852317907075891e-08
CH2CHO,1.9724159381025697e-07,2.7282306179637437e-05
CH3CHO,1.2099930897279218e-06,0.00013870604671044836
